"STATION","NAME","DATE","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-01-13","0.00","0.0","0.0","56","63","50"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-01-14","0.69","0.0","0.0","54","56","51"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-01-15","0.00","0.0","0.0","51","53","45"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-01-16","0.21","0.0","0.0","50","57","43"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-01-17","0.00","0.0","0.0","45","52","39"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-01-18","0.00","0.0","0.0","44","55","37"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-01-19","0.05","0.0","0.0","48","54","43"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-01-20","0.00","0.0","0.0","46","55","41"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-01-21","0.00","0.0","0.0","44","55","35"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-01-22","0.00","0.0","0.0","44","53","36"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-01-23","0.00","0.0","0.0","44","54","35"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-01-24","0.00","0.0","0.0","44","59","33"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-01-25","0.00","0.0","0.0","46","60","35"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-01-26","0.00","0.0","0.0","48","64","37"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-01-27","0.00","0.0","0.0","49","63","37"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-01-28","0.00","0.0","0.0","49","61","37"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-01-29","0.00","0.0","0.0","47","53","39"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-01-30","0.00","0.0","0.0","45","53","37"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-01-31","0.00","0.0","0.0","42","54","32"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-02-01","0.00","0.0","0.0","45","62","34"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-02-02","0.00","0.0","0.0","49","64","37"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-02-03","0.00","0.0","0.0","54","68","44"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-02-04","0.03","0.0","0.0","53","68","40"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-02-05","0.60","0.0","0.0","56","59","42"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-02-06","0.00","0.0","0.0","43","52","38"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-02-07","0.00","0.0","0.0","46","59","36"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-02-08","0.00","0.0","0.0","48","63","37"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-02-09","0.00","0.0","0.0","52","68","41"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-02-10","0.00","0.0","0.0","54","69","42"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-02-11","0.00","0.0","0.0","53","58","42"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-02-12","0.00","0.0","0.0","49","59","39"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-02-13","0.00","0.0","0.0","51","65","40"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-02-14","0.00","0.0","0.0","52","56","39"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-02-15","0.00","0.0","0.0","42","55","31"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-02-16","0.00","0.0","0.0","45","60","33"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-02-17","0.00","0.0","0.0","48","61","36"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-02-18","0.00","0.0","0.0","47","63","34"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-02-19","0.00","0.0","0.0","50","66","36"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-02-20","0.00","0.0","0.0","52","68","38"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-02-21","0.00","0.0","0.0","54","68","42"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-02-22","0.18","0.0","0.0","46","52","37"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-02-23","0.00","0.0","0.0","42","52","35"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-02-24","2.16","0.0","0.0","45","49","41"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-02-25","0.69","0.0","0.0","42","46","38"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-02-26","0.02","0.0","0.0","43","52","37"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-02-27","0.15","0.0","0.0","48","53","40"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-02-28","0.43","0.0","0.0","45","51","38"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-03-01","0.39","0.0","0.0","44","51","38"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-03-02","0.00","0.0","0.0","45","57","34"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-03-03","0.00","0.0","0.0","48","59","37"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-03-04","0.00","0.0","0.0","51","56","45"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-03-05","0.32","0.0","0.0","48","50","43"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-03-06","0.00","0.0","0.0","46","58","38"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-03-07","0.00","0.0","0.0","49","58","39"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-03-08","0.00","0.0","0.0","49","59","39"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-03-09","0.42","0.0","0.0","50","59","42"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-03-10","0.88","0.0","0.0","55","62","54"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-03-11","0.04","0.0","0.0","60","71","56"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-03-12","0.36","0.0","0.0","60","68","53"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-03-13","0.00","0.0","0.0","59","71","50"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-03-14","0.52","0.0","0.0","60","64","55"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-03-15","0.14","0.0","0.0","56","61","48"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-03-16","0.00","0.0","0.0","53","66","45"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-03-17","0.00","0.0","0.0","58","69","48"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-03-18","0.00","0.0","0.0","60","70","49"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-03-19","0.18","0.0","0.0","60","67","54"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-03-20","0.00","0.0","0.0","58","65","53"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-03-21","0.35","0.0","0.0","57","63","47"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-03-22","0.01","0.0","0.0","51","57","47"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-03-23","0.00","0.0","0.0","52","58","48"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-03-24","0.00","0.0","0.0","51","60","45"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-03-25","0.00","0.0","0.0","50","60","41"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-03-26","0.00","0.0","0.0","50","60","39"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-03-27","0.00","0.0","0.0","50","65","37"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-03-28","0.35","0.0","0.0","56","63","46"
